new_cases,new_date_4,daily_crime
0,2020-03-04,649
0,2020-03-05,666
4,2020-03-06,741
1,2020-03-09,707
0,2020-03-10,725
0,2020-03-11,737
2,2020-03-12,702
0,2020-03-13,693
3,2020-03-15,738
0,2020-03-16,718
0,2020-03-17,734
0,2020-03-18,766
0,2020-03-19,743
14,2020-03-20,613
2,2020-03-21,645
1,2020-03-22,643
0,2020-03-23,622
27,2020-03-24,553
80,2020-03-25,598
51,2020-03-26,651
18,2020-03-27,600
26,2020-03-28,636
216,2020-03-29,597
81,2020-03-30,642
37,2020-03-31,641
117,2020-04-01,611
167,2020-04-02,615
108,2020-04-03,559
151,2020-04-04,747
178,2020-04-05,614
111,2020-04-06,667
414,2020-04-07,518
337,2020-04-08,572
195,2020-04-09,653
706,2020-04-10,703
214,2020-04-11,667
300,2020-04-12,703
68,2020-04-13,796
118,2020-04-14,700
160,2020-04-15,603
190,2020-04-16,661
209,2020-04-17,678
154,2020-04-18,642
193,2020-04-19,571
170,2020-04-20,659
154,2020-04-21,659
166,2020-04-22,553
68,2020-04-23,654
119,2020-04-24,661
152,2020-04-25,676
146,2020-04-26,655
101,2020-04-27,643
98,2020-04-28,621
159,2020-04-29,602
175,2020-04-30,604
195,2020-05-01,611
195,2020-05-02,605
157,2020-05-03,602
130,2020-05-04,781
129,2020-05-05,659
161,2020-05-06,632
116,2020-05-07,678
133,2020-05-08,681
217,2020-05-09,712
209,2020-05-10,742
75,2020-05-11,762
298,2020-05-12,720
240,2020-05-13,665
205,2020-05-14,707
196,2020-05-15,696
233,2020-05-16,676
76,2020-05-17,733
339,2020-05-18,713
170,2020-05-19,678
224,2020-05-20,665
236,2020-05-21,693
188,2020-05-22,758
243,2020-05-23,779
244,2020-05-24,748
151,2020-05-25,793
74,2020-05-26,785
286,2020-05-27,750
261,2020-05-28,695
228,2020-05-29,783
239,2020-05-30,768
211,2020-05-31,775
56,2020-06-01,808
388,2020-06-02,782
363,2020-06-03,755
241,2020-06-04,803
335,2020-06-05,746
337,2020-06-06,710
483,2020-06-07,779
163,2020-06-08,800
332,2020-06-09,686
320,2020-06-10,716
314,2020-06-11,738
312,2020-06-12,644
324,2020-06-13,693
380,2020-06-14,684
210,2020-06-15,740
504,2020-06-16,716
425,2020-06-17,746
450,2020-06-18,737
395,2020-06-19,719
1187,2020-06-20,760
1135,2020-06-21,709
179,2020-06-22,698
1994,2020-06-23,679
1374,2020-06-24,718
1365,2020-06-25,651
1231,2020-06-26,649
1238,2020-06-27,715
908,2020-06-28,765
113,2020-06-29,695
1453,2020-06-30,713
693,2020-07-01,685
1437,2020-07-02,778
1249,2020-07-03,692
1208,2020-07-04,778
597,2020-07-05,646
684,2020-07-06,675
1179,2020-07-07,661
1535,2020-07-08,727
701,2020-07-09,727
907,2020-07-10,676
1081,2020-07-11,666
1939,2020-07-12,666
1429,2020-07-13,668
2001,2020-07-14,700
1658,2020-07-15,666
1343,2020-07-16,667
1599,2020-07-17,633
1586,2020-07-18,656
1251,2020-07-19,674
963,2020-07-20,675
1326,2020-07-21,638
1385,2020-07-22,621
1444,2020-07-23,704
1492,2020-07-24,592
1203,2020-07-25,595
1494,2020-07-26,669
1236,2020-07-27,696
846,2020-07-28,711
1465,2020-07-29,648
1466,2020-07-30,701
1724,2020-07-31,700
2114,2020-08-01,651
1920,2020-08-02,700
1758,2020-08-03,694
1463,2020-08-04,720
1438,2020-08-05,695
1371,2020-08-06,683
1005,2020-08-07,745
1264,2020-08-08,644
1417,2020-08-09,744
1157,2020-08-10,705
806,2020-08-11,752
942,2020-08-12,693
989,2020-08-13,704
931,2020-08-14,673
1149,2020-08-15,709
1124,2020-08-16,711
555,2020-08-17,740
691,2020-08-18,716
928,2020-08-19,699
804,2020-08-20,766
955,2020-08-21,677
1027,2020-08-22,802
1087,2020-08-23,730
761,2020-08-24,749
784,2020-08-25,679
881,2020-08-26,743
906,2020-08-27,688
593,2020-08-28,700
1418,2020-08-29,656
1561,2020-08-30,662
1108,2020-08-31,712
838,2020-09-01,709
895,2020-09-02,695
595,2020-09-03,687
734,2020-09-04,769
1015,2020-09-05,658
928,2020-09-06,719
763,2020-09-07,690
0,2020-09-08,775
514,2020-09-09,673
723,2020-09-10,640
742,2020-09-11,690
948,2020-09-12,669
388,2020-09-13,672
1023,2020-09-14,692
1080,2020-09-15,682
357,2020-09-16,687
268,2020-09-17,735
552,2020-09-18,706
477,2020-09-19,719
612,2020-09-20,723
225,2020-09-21,683
507,2020-09-22,692
142,2020-09-23,662
106,2020-09-24,638
204,2020-09-25,550
252,2020-09-26,669
113,2020-09-27,706
172,2020-09-28,685
133,2020-09-29,709
300,2020-09-30,720
141,2020-10-01,691
81,2020-10-02,757
266,2020-10-03,713
380,2020-10-04,733
214,2020-10-05,742
171,2020-10-06,704
192,2020-10-07,737
191,2020-10-08,768
129,2020-10-09,734
248,2020-10-10,713
299,2020-10-11,721
420,2020-10-12,761
223,2020-10-13,797
167,2020-10-14,712
646,2020-10-15,794
211,2020-10-16,766
318,2020-10-17,677
229,2020-10-18,782
219,2020-10-19,713
300,2020-10-20,714
223,2020-10-21,765
637,2020-10-22,717
280,2020-10-23,713
357,2020-10-24,705
732,2020-10-25,690
276,2020-10-26,743
385,2020-10-27,749
170,2020-10-28,718
741,2020-10-29,689
303,2020-10-30,691
518,2020-10-31,703
629,2020-11-01,619
365,2020-11-02,678
409,2020-11-03,656
447,2020-11-04,824
496,2020-11-05,767
635,2020-11-06,710
615,2020-11-07,705
458,2020-11-08,718
650,2020-11-09,768
493,2020-11-10,713
661,2020-11-11,780
325,2020-11-12,726
843,2020-11-13,660
711,2020-11-14,694
624,2020-11-15,732
1027,2020-11-16,749
262,2020-11-17,746
450,2020-11-18,696
1458,2020-11-19,659
1275,2020-11-20,681
1014,2020-11-21,683
1371,2020-11-22,670
727,2020-11-23,725
873,2020-11-24,731
1281,2020-11-25,748
1766,2020-11-26,757
558,2020-11-27,707
105,2020-11-28,674
60,2020-11-29,585
2614,2020-11-30,642
810,2020-12-01,612
583,2020-12-02,694
903,2020-12-03,706
1734,2020-12-04,772
557,2020-12-05,732
1027,2020-12-06,756
2192,2020-12-07,760
515,2020-12-08,727
745,2020-12-09,752
941,2020-12-10,696
1266,2020-12-11,757
1896,2020-12-12,677
1000,2020-12-13,739
1416,2020-12-14,733
1264,2020-12-15,769
1489,2020-12-16,652
2265,2020-12-17,701
991,2020-12-18,634
1140,2020-12-19,677
1266,2020-12-20,724
2097,2020-12-21,696
2481,2020-12-22,700
988,2020-12-23,668
1231,2020-12-24,676
838,2020-12-25,783
263,2020-12-26,705
73,2020-12-27,633
5340,2020-12-28,534
1623,2020-12-29,640
1278,2020-12-30,656
1754,2020-12-31,720